geo_join_id,Neighborhood,Data Value,message
404,Bayside - Little Neck,26.1,
203,Bedford Stuyvesant - Crown Heights,131.7,
209,Bensonhurst - Bay Ridge,80.1,
206,Borough Park,95.8,
208,Canarsie - Flatlands,98.6,
302,Central Harlem - Morningside Heights,95.4,
306,Chelsea - Clinton,70.7,
210,Coney Island - Sheepshead Bay,96.5,
105,Crotona -Tremont,137.3,
202,Downtown - Heights - Slope,80.2,
207,East Flatbush - Flatbush,126.9,
303,East Harlem,145.2,
204,East New York,133.2,
403,Flushing - Clearview,80.8,
103,Fordham - Bronx Pk,137.9,
406,Fresh Meadows,68.8,
307,Gramercy Park - Murray Hill,100.5,
201,Greenpoint,51.8,
308,Greenwich Village - SoHo,53.2,
106,High Bridge - Morrisania,121.6,
107,Hunts Point - Mott Haven,150.8,
408,Jamaica,119.3,
101,Kingsbridge - Riverdale,90.1,
401,Long Island City - Astoria,92.4,
310,Lower Manhattan,54,
102,Northeast Bronx,102.1,
104,Pelham - Throgs Neck,99.9,
501,Port Richmond,117.6,
405,Ridgewood - Forest Hills,79,
410,Rockaways,113.2,
504,South Beach - Tottenville,47.4,
409,Southeast Queens,71.8,
407,Southwest Queens,95.7,
502,Stapleton - St. George,88.4,
205,Sunset Park,112,
309,Union Square - Lower East Side,82.6,
305,Upper East Side,64.5,
304,Upper West Side,40.6,
301,Washington Heights,87.7,
402,West Queens,103.3,
211,Williamsburg - Bushwick,133,
503,Willowbrook,66.6,
